name,orgnr,omsattning_tkrk,anstallda,ort,branscher,allabolag_url
"Underbara Hem i Eskilstuna AB",556414-2056,17788,9,"633 46 Eskilstuna","Möbler;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/underbara-hem-i-eskilstuna-ab/eskilstuna/-/5564142056
"Ullmans Mattor Aktiebolag",556205-7389,14904,6,"113 32 Stockholm","Byggmästare;Golvbeläggningar;Mattor;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/ullmans-mattor-aktiebolag/stockholm/-/5562057389
"Ulfåsa Rotting Aktiebolag",556367-4810,13790,3,"591 91 Motala","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/ulf%C3%A5sa-rotting-aktiebolag/motala/-/5563674810
"Törnvalls Möbler Aktiebolag",556081-6471,17300,6,"577 75 Mörlunda","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/t%C3%B6rnvalls-m%C3%B6bler-aktiebolag/m%C3%B6rlunda/-/5560816471
"TÔNN furniture AB",559023-5767,11208,4,"118 22 Stockholm","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/t%C3%B4nn-furniture-ab/stockholm/-/5590235767
"Tylösand Trading Sweden AB",556945-6295,14285,8,"302 65 Halmstad","Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/tyl%C3%B6sand-trading-sweden-ab/halmstad/-/5569456295
"Tumbo Möbler AB",556742-9179,12736,5,"635 31 Kvicksund","Möbler;Textilier;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/tumbo-m%C3%B6bler-ab/kvicksund/-/5567429179
"Tullhuset Living AB",556211-5682,12992,5,"722 10 Västerås","Arkitekter;Designers, formgivare;Möbler;Kläder, skor;Konfektion;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/tullhuset-living-ab/v%C3%A4ster%C3%A5s/-/5562115682
"Träff Golv och Färg AB",556608-0031,12073,5,"532 37 Skara","Färger, lacker, tapeter;Golvbeläggningar;Mattor;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/tr%C3%A4ff-golv-och-f%C3%A4rg-ab/skara/-/5566080031
"Trim Sweden AB",556684-6589,18065,0,"507 71 Gånghester","Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/trim-sweden-ab/g%C3%A5nghester/-/5566846589
"Tri West Trading Aktiebolag",556616-1237,13632,3,"432 74 Träslövsläge","Kontorsinredningar;Redovisning, bokföring;Grossister;Skatterådgivning",https://www.allabolag.se/foretag/tri-west-trading-aktiebolag/tr%C3%A4sl%C3%B6vsl%C3%A4ge/-/5566161237
"Tre Inredare AB",556664-1089,11758,2,"235 38 Vellinge","Finansbolag, finansiella tjänster;Kontorsinredningar;Värdepappershandel;Grossister",https://www.allabolag.se/foretag/tre-inredare-ab/vellinge/-/5566641089
"Torkelson Möbel AB",556975-8476,17728,5-9,"286 73 Skånes Fagerhult","Belysningsarmatur - Komponenter;Grossister",https://www.allabolag.se/foretag/torkelson-m%C3%B6bel-ab/sk%C3%A5nes-fagerhult/-/5569758476
"Tony Sköld Agentur AB",556659-1847,15930,2,"131 73 Nacka","Livsmedel;Möbler;Kläder, skor;Konfektion;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/tony-sk%C3%B6ld-agentur-ab/nacka/-/5566591847
"Tofta Möbel Aktiebolag",556406-3070,15227,6,"622 65 Gotlands Tofta","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/tofta-m%C3%B6bel-aktiebolag/gotlands-tofta/-/5564063070
"To Hemprodukter O. Fagerström Aktiebolag",556316-4796,19647,7,"824 40 Hudiksvall","Hushållsmaskiner och apparater, radio, tv, cd och musikinstrument;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/to-hemprodukter-o.-fagerstr%C3%B6m-aktiebolag/hudiksvall/-/5563164796
"Thimar Form AB",559039-0398,13578,3,"652 24 Karlstad","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/thimar-form-ab/karlstad/-/5590390398
"Texa Fastighetsförvaltning AB",556042-1355,10246,1-4,"265 38 Åstorp","Belysningsarmatur - Komponenter;Grossister",https://www.allabolag.se/foretag/texa-fastighetsf%C3%B6rvaltning-ab/%C3%A5storp/-/5560421355
"Tells Färgvaruhus AB",556781-7563,14734,7,"441 38 Alingsås","Färger, lacker, tapeter;Golvbeläggningar;Mattor;Butikshandel;Detaljhandel;Virke och byggvaror",https://www.allabolag.se/foretag/tells-f%C3%A4rgvaruhus-ab/alings%C3%A5s/-/5567817563
"Teaterhotellet i Malmö AB",556294-4685,10260,6,"211 42 Malmö","Belysningsarmatur - Komponenter;Hotell;Grossister",https://www.allabolag.se/foretag/teaterhotellet-i-malm%C3%B6-ab/malm%C3%B6/-/5562944685
"Tannenbaum Sverige AB",556852-7252,14340,10,"182 36 Danderyd","Belysningsarmatur - Komponenter;Byggmästare;Elektronik - Systemkomponenter;Elektronik - Tillverkning;Möbler, inredning, kök- och belysningsutrustning;Producenter;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/tannenbaum-sverige-ab/danderyd/-/5568527252
"Tambur Store AB",559021-0729,11409,2,"116 22 Stockholm","Designers, formgivare;Industridesigners;Postorder/e-handel;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/tambur-store-ab/stockholm/-/5590210729
"TURHOME MÖBLER AB",559030-6865,16632,7,"602 23 Norrköping","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/turhome-m%C3%B6bler-ab/norrk%C3%B6ping/-/5590306865
"TRAGENT Aktiebolag",556406-7873,19022,3,"436 42 Askim","Företagsutveckling;Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/tragent-aktiebolag/askim/-/5564067873
"TIB-Möbler AB",556067-7444,11245,4,"612 73 Ljusfallshammar","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/tib-m%C3%B6bler-ab/ljusfallshammar/-/5560677444
"Sångbergs Färs & Bärs AB",559347-8208,15322,16,"514 34 Tranemo","Catering;Köttprodukter, slakteriprodukter;Livsmedel;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/s%C3%A5ngbergs-f%C3%A4rs-b%C3%A4rs-ab/tranemo/-/5593478208
"Sängkoncept i Bromma AB",559219-9714,11482,3,"168 66 Bromma","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/s%C3%A4ngkoncept-i-bromma-ab/bromma/-/5592199714
