orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,county,municipality,post_place,zip_code,address,revenue_sek,revenue_year,revenue_tier,in_revenue_band,employees,status,phone,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url,target_url_source,target_url_confidence,resolve_debug
556250-6252,Jula AB,Jula AB,Postorder,Järnvaror,Järnvaror; Grossister,Västra Götaland,Skara,Skara,532 40,Julagatan 2,7343036,2024-12,unknown,true,701,,,,,,https://www.allabolag.se/foretag/jula-ab/skara/-/2JZRTAKI5YEU5,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=Jula%20AB%20hemsida
556127-6188,Swedol AB,Swedol AB,Postorder,Järnvaror,"Järnvaror; Grossister; Lantbruksmaskiner, förnödenheter - grossist; Lantbruksmaskiner, förnödenheter; Konfektion; Butikshandel; Detaljhandel; Kläder, skor; Kläder",Stockholm,Stockholm,Stockholm,135 70,Vindkraftsvägen 2,4547539,2024-12,unknown,true,1160,,087120000,,,https://www.swedol.se/,https://www.allabolag.se/foretag/swedol-ab/stockholm/-/2JZ1G64I5YEU5,hitta_name,high,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_detail | hitta_name:https://www.hitta.se/swedol-ab/bromma/csbzjgtz | hitta_name:orgnr_match | hitta_name:url_in_own_segment
556044-0264,Ellos AB,Ellos AB,Postorder,Detaljhandel - annat,"Detaljhandel - annat; Detaljhandel; Postorder/e-handel; Möbler; Butikshandel; Möbler, inredning, kök- och belysningsutrustning; Konfektion; Kläder, skor; Textilier",Västra Götaland,Borås,Borås,504 64,Ödegärdsgatan 6,2767917,2024-12,unknown,true,462,,033160000,,,,https://www.allabolag.se/foretag/ellos-ab/boras/-/2JYJJ60I63ILV,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=Ellos%20AB%20hemsida
556547-6172,Granngården AB,Granngården AB,Postorder,Detaljhandel,Detaljhandel; Detaljhandel - annat; Butikshandel; Kontorstjänster,Skåne,Malmö,Malmö,212 43,Vattenverksvägen 47,2426147,2024-12,unknown,true,729,,0771222444,,,http://www.granngarden.se,https://www.allabolag.se/foretag/granngarden-ab/malmo/-/2K1JGWCI63ILU,hitta_name,high,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_detail | hitta_name:https://www.hitta.se/granngarden-ab/j%C3%A4rf%C3%A4lla/ngtzfagst | hitta_name:orgnr_match | hitta_name:url_in_own_segment
556064-7801,Unigraphics Aktiebolag,Unigraphics Aktiebolag,Postorder,"Metaller, legeringar","Metaller, legeringar; Metaller, legeringar - Produktion; Producenter; Textilier; Textilier - Produktion; Övrig tillverkning; Bokbinderier",Västra Götaland,Borås,Borås,507 40,Solvarvsgatan 4,48299,2025-03,unknown,true,29,,033151103,,,,https://www.allabolag.se/foretag/unigraphics-aktiebolag/boras/-/2JYNZAXI5YGAN,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=Unigraphics%20Aktiebolag%20hemsida
559419-4457,MJS Internethandel AB,MJS Internethandel AB,Internethandel,Detaljhandel - annat,Detaljhandel - annat; Detaljhandel; Postorder/e-handel,Stockholm,Stockholm,Stockholm,114 39,Nybrogatan 34,36101,2025-12,unknown,true,5,,,,,,https://www.allabolag.se/foretag/mjs-internethandel-ab/stockholm/-/2KIN02HI63ILV,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=MJS%20Internethandel%20AB%20hemsida
559408-0151,Postordergruppen i Göteborg AB,Postordergruppen i Göteborg AB,Postorder,Detaljhandel - annat,Detaljhandel - annat; Detaljhandel; Postorder/e-handel,Västra Götaland,Göteborg,Torslanda,423 63,Högenvägen 156,20999,2024-12,unknown,true,1,,,,,,https://www.allabolag.se/foretag/postordergruppen-i-goteborg-ab/goteborg/-/2KIKJVBI63ILV,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=Postordergruppen%20i%20G%C3%B6teborg%20AB%20hemsida
556779-0455,Udéns Postorder AB,Udéns Postorder AB,Postorder,Medicinteknisk utrustning,Medicinteknisk utrustning; Detaljhandel; Butikshandel,Västerbotten,Skellefteå,Jörn,936 51,Storgatan 34,11481,2024-12,unknown,true,2,,,,,,https://www.allabolag.se/foretag/ud-ns-postorder-ab/skelleftea/-/2K2X2LZI5YG82,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=Ud%C3%A9ns%20Postorder%20AB%20hemsida
556357-7195,ELFSTRÖMS POSTORDER Aktiebolag,ELFSTRÖMS POSTORDER Aktiebolag,Postorder,"Apoteksvaror, läkemedel - Partihandel","Apoteksvaror, läkemedel - Partihandel; Apoteksvaror, läkemedel - Distribution; Grossister; Detaljhandel - annat; Detaljhandel; Postorder/e-handel",Stockholm,Stockholm,Stockholm,113 41,Norrbackagatan 8 Lgh 1301,8710,2025-06,unknown,true,1,,0708432334,,,,https://www.allabolag.se/foretag/elfstroms-postorder-aktiebolag/stockholm/-/2K0ERMZI63IM3,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=ELFSTR%C3%96MS%20POSTORDER%20Aktiebolag%20hemsida
556441-6518,Wiedland Internethandel AB,Wiedland Internethandel AB,Internethandel,Detaljhandel - annat,Detaljhandel - annat; Detaljhandel; Postorder/e-handel,Örebro,Hallsberg,Hallsberg,694 35,Stocksättersvägen 1,1373,2024-12,unknown,true,0,,0707289922,,,,https://www.allabolag.se/foretag/wiedland-internethandel-ab/hallsberg/-/2K0WR9II63ILV,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=Wiedland%20Internethandel%20AB%20hemsida
556600-8784,Må Bra Hälsobutik i Majorna Aktiebolag,Må Bra Hälsobutik i Majorna Aktiebolag,Postorder,Livsmedel,"Livsmedel; Hälsokost, naturläkemedel; Detaljhandel; Butikshandel",Västra Götaland,Göteborg,Göteborg,414 63,Bangatan 6,1304,2025-04,unknown,true,1,,,,,,https://www.allabolag.se/foretag/ma-bra-halsobutik-i-majorna-aktiebolag/goteborg/-/2K1UVV4I5YFWD,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=M%C3%A5%20Bra%20H%C3%A4lsobutik%20i%20Majorna%20Aktiebolag%20hemsida
559483-5422,Fränt.se internethandel och logistik AB,Fränt.se internethandel och logistik AB,Internethandel,Uthyrning,"Uthyrning; Arbetskraftstjänster; Konfektion; Detaljhandel; Postorder/e-handel; Kläder, skor",Västernorrland,Sundsvall,Sundsvall,857 30,Kalmarvägen 31,560,2025-04,unknown,true,1,,,,,,https://www.allabolag.se/foretag/frant-se-internethandel-och-logistik-ab/sundsvall/-/2KJ0QN2I5YIEZ,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=Fr%C3%A4nt.se%20internethandel%20och%20logistik%20AB%20hemsida
556663-2153,Internethandelsbolaget Ylva Franzén AB,Internethandelsbolaget Ylva Franzén AB,Internethandel,Hotell,"Hotell; Konfektion; Detaljhandel; Postorder/e-handel; Kläder, skor; Böcker, papper, tidningar och reklamblad; Livsmedel; Hälsokost, naturläkemedel; Butikshandel",Skåne,Skurup,Skurup,274 93,Lindby 327,316,2024-12,unknown,true,1,,,,,,https://www.allabolag.se/foretag/internethandelsbolaget-ylva-franz-n-ab/skurup/-/2K288UXI63GSG,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=Internethandelsbolaget%20Ylva%20Franz%C3%A9n%20AB%20hemsida
559341-7651,JF Internethandel AB,JF Internethandel AB,Internethandel,Sport,Sport; Detaljhandel; Postorder/e-handel,Östergötland,Linköping,Linköping,586 46,Stiglötsgatan 90 Lgh 1102,275,2024-12,unknown,true,0,,,,,,https://www.allabolag.se/foretag/jf-internethandel-ab/linkoping/-/2KI6COJI5YHR6,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=JF%20Internethandel%20AB%20hemsida
559418-4144,Platinum Internethandel AB,Platinum Internethandel AB,Internethandel,Detaljhandel - annat,Detaljhandel - annat; Detaljhandel; Postorder/e-handel,Stockholm,Stockholm,Stockholm,114 39,Nybrogatan 34,198,2025-12,unknown,true,0,,,,,,https://www.allabolag.se/foretag/platinum-internethandel-ab/stockholm/-/2KIMS40I63ILV,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=Platinum%20Internethandel%20AB%20hemsida
556936-3640,AllGross Internet Handel i Sverige AB,AllGross Internet Handel i Sverige AB,Internethandel,Städservice,"Städservice; Klockor, ur; Guld, silver, ädelstenar; Grossister; Fastighetsbolag, lokaler",Stockholm,Stockholm,Hägersten,129 52,Jenny Linds Gata 10,139,2025-06,unknown,true,0,,,,,,https://www.allabolag.se/foretag/allgross-internet-handel-i-sverige-ab/stockholm/-/2K3USHKI5YH6T,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=AllGross%20Internet%20Handel%20i%20Sverige%20AB%20hemsida
559349-3256,Natur frisk i Sverige AB,Natur frisk i Sverige AB,Postorder,Detaljhandel - annat,"Detaljhandel - annat; Detaljhandel; Postorder/e-handel; Restauranger; Kemikalier, industrikemikalier - tillverkning; Kemikalier, industrikemikalier; Producenter; Livsmedel; Livsmedel - agenturer och grossister; Grossister; Hälsokost, naturläkemedel; Butikshandel",Stockholm,Upplands-Bro,Bro,197 93,Tjusta Skolväg 2,105,2025-06,unknown,true,1,,,,,,https://www.allabolag.se/foretag/natur-frisk-i-sverige-ab/upplands-bro/-/2KI7Z0OI63ILV,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=Natur%20frisk%20i%20Sverige%20AB%20hemsida
