orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url
556426-6434,Rosenkiosken Aktiebolag,Rosenkiosken Aktiebolag,47260,,"47260; 47621; 47242; 92000",HUSKVARNA,56131,ROSENBORGSGATAN 26 F,"Bolaget skall bedriva handel med tobak, tidningar, konfektyr, spel och lotteriförmedling samt härmed förenlig verksamhet.",1991-05-23,active,,,,
556420-9327,STYFFE CONSULTING AB,STYFFE CONSULTING AB,46501,,"46501; 62201",VARBERG,43236,FÖRENINGSGATAN 76,"Bolaget ska bedriva konsultverksamhet inom IT, management och företags organisation, samt därmed förenlig verksamhet. Bolaget ska också arbeta med handel och förvaltning av värdepapper och fast egendom.",1991-03-12,active,,,,
556394-2795,GOD idé Johansson Aktiebolag,GOD idé Johansson Aktiebolag,47112,,"47112; 10710",NORRKÖPING,60223,BLYGATAN 27,Bolaget ska bedriva detaljhandelsrörelse med dagligvaror och annan därmed förenlig verksamhet.,1990-04-17,active,,,,
556251-0734,Fontana Food Aktiebolag,Fontana Food Aktiebolag,46390,,46390,TYRESÖ,13548,STUDIOVÄGEN 6,"Bolaget skall bedriva import och försäljning av livsmedel, ävensom idka därmed förenlig verksamhet.",1984-10-22,active,,,,
556407-9605,Hoerbiger Service Nordic AB,Hoerbiger Service Nordic AB,46649,,46649,LUDVIKA,77125,BOX 243,"Bolaget skall bedriva försäljning, reparationer & konsultverksamhet inom tryckluftsbranschen, samt bedriva därmed förenlig verksamhet.",1990-10-11,active,,,,
556264-9151,Klippan Textil AB,Klippan Textil AB,47510,,47510,KLIPPAN,26438,JÄRNVÄGSGATAN 21,Bolaget skall bedriva produktion av och handel med textilier och därmed förenlig verksamhet.,1985-09-27,active,,,,
556267-2989,Görans El i Ystad AB,Görans El i Ystad AB,46431,,"46431; 43210",YSTAD,27191,GAMLA LUNDAVÄGEN 221,Bolaget skall bedriva elektrisk installationsverksamhet ävensom idka därmed förenlig verksamhet.,1986-01-16,active,,,,
556417-2335,Polsver Aktiebolag,Polsver Aktiebolag,46649,,"46649; 46141",JÖNKÖPING,55302,INDUSTRIGATAN 10,"Bolaget skall bedriva försäljning av maskiner med tillbehör för mekanisk industri, konstruktions- och konsultationsarbete samt agentur för olika råmaterial och maskiner, förvalta fast och lös egendom samt bedriva därmed förenlig verksamhet.",1991-02-20,active,,,,
556415-0927,Larssons Konsthandel Aktiebolag,Larssons Konsthandel Aktiebolag,47692,,"47692; 66190",KARLSTAD,65218,HERRHAGSGATAN 20,"Bolaget skall äga och förvalta värdepapper, bedriva handel med konst och antikviteter samt konsultation inom dessa områden jämte därmed förenlig verksamhet.",1991-02-01,active,,,,
556421-8112,Lönnbacken Trading & Entreprenad AB,Lönnbacken Trading & Entreprenad AB,46610,,46610,FINSPÅNG,61294,ÖREBROVÄGEN 31,Bolaget skall bedriva handel med byggvaror samt entreprenadverksamhet inom gräv och anläggning. Även konsultverksamhet inom jordbruksnäring samt annan därmed förenlig verksamhet. Bolaget skall kunna placera medel i aktier och obligationer samt därmed likställd verksamhet.,1991-03-13,active,,,,
556459-4819,Mönsterås Industritrading Aktiebolag,Mönsterås Industritrading Aktiebolag,46831,,46831,MÖNSTERÅS,38336,VÄSTRA OKNEBÄCKSVÄGEN 1,Bolaget skall bedriva handel och uthyrning av tält för konferens- och industriändamål samt därmed förenlig verksamhet.,1993-01-04,active,,,,
556396-6612,Himla Aktiebolag,Himla Aktiebolag,47532,,"47532; 46410",UPPSALA,75228,SÖDERFORSGATAN 18,Bolaget skall ha till ändamål att importera och handla med inrednings- och presentartiklar och leksaker och därmed förenlig verksamhet.,1990-05-29,active,,,,
