orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url
556219-6575,Kristianstad Elkonsult Aktiebolag,Kristianstad Elkonsult Aktiebolag,71123,,71123,KRISTIANSTAD,29032,LASARETTSBOULEVARDEN 4 A,Bolaget skall bedriva konsulterande ingenjörsbyrå samt handel med värdepapper ävensom idka annan därmed förenlig verksamhet.,1982-08-13,active,,,,
556218-6071,Lars-Ola Karlsson Åkeri Aktiebolag,Lars-Ola Karlsson Åkeri Aktiebolag,49410,,49410,VÄSTERÅS,72355,EGILSVÄGEN 6,Bolaget skall bedriva åkerirörelse och därmed förenlig verksamhet.,1982-07-05,active,,,,
556235-2277,Poolspecialisterna BN Bygg AB,Poolspecialisterna BN Bygg AB,41000,,41000,VÄSTERÅS,72134,KRANBYGGARGATAN 7,Bolagets verksamhet är att bedriva byggnadsrörelse och därmed förenlig verksamhet.,1987-03-18,active,,,,
556236-2417,Kickmatic Aktiebolag,Kickmatic Aktiebolag,70200,,70200; 64994,LIMHAMN,21614,SVEAGATAN 55 D,"Bolaget skall bedriva uthyrning av lokaler, samt i att köpa, sälja, äga och förvalta värdepapper. .",1984-01-02,active,,,,
556229-9866,Ekonomi & Revision H. Bertilsson AB,Ekonomi & Revision H. Bertilsson AB,69201,,69201; 69202,BORÅS,50467,ALINGSÅSVÄGEN 83,Bolaget skall bedriva bokförings- och revisionsrörelse samt äga och förvalta värdepapper och fast egendom samt därmed förenlig verksamhet.,1983-06-13,active,,,,
556222-7875,Advokat Kristian Ehrling AB,Advokat Kristian Ehrling AB,69101,,69101,LIDINGÖ,18150,STOCKHOLMSVÄGEN 18  6 TR,Bolaget skall bedriva advokatverksamhet.,1982-11-30,active,,,,
556236-1310,APLA Invest Aktiebolag,APLA Invest Aktiebolag,69201,,69201,SOLNA,17168,HANNEBERGSGATAN 32  LGH 1503,"Bolaget skall bedriva konsultverksamhet inom ekonomi och företagsledning, förvalta fast och lös egendom samt idka därmed förenlig verksamhet.",1984-01-02,active,,,,
556237-3737,Stefan Hillberg AB,Stefan Hillberg AB,70200,,70200,LINKÖPING,58276,VÄXTHUSVÄGEN 30,"Aktiebolaget ska bedriva ekonomisk och administrativ konsult- verksamhet, köpa, sälja och förvalta värdepapper samt idka därmed förenliga verksamheter.",1983-12-12,active,,,,
556231-9045,NOLA Elkonstruktioner Aktiebolag,NOLA Elkonstruktioner Aktiebolag,71123,,71123,ÖRNSKÖLDSVIK,89125,BOX 243,"Bolaget skall bedriva konsulterande verksamhet, upprätta hand- lingar för elektriska konstruktioner, kontroll och besiktning av elanläggningar, köp och försäljning av lös egendom, värdepapper, konst och fastigheter samt idka därmed förenlig verksamhet.",1987-03-16,active,,,,
556242-9877,Telmec Aktiebolag,Telmec Aktiebolag,71123,,71123,STOCKHOLM,11727,LUNDAGATAN 36 D,Bolaget skall bedriva konsultverksamhet inom mekanisk konstruktion och design samt bedriva handel med legeringsämnen och ädel- metaller samt därmed förenlig verksamhet.,1984-04-02,active,,,,
556242-4761,EMP-tronic Aktiebolag,EMP-tronic Aktiebolag,71123,,71123,HELSINGBORG,25053,BOX 45,Bolaget skall bedriva konsultverksamhet inom det eltekniska området ävensom idka därmed förenlig verksamhet.,1984-04-03,active,,,,
556240-9929,Carl-G Leissner Aktiebolag,Carl-G Leissner Aktiebolag,69101,,69101,LIDINGÖ,18157,STENMURKLEVÄGEN 9,"Bolagets verksamhet skall vara juridisk rådgivning, handel med fast egendom och lös egendom. Handel med hästar jämte utrustning till hästar och ridning. Juridisk rådgivning samt därmed förenlig verksamhet.",1984-03-06,active,,,,
556232-9960,H. Grann Åkeri Aktiebolag,H. Grann Åkeri Aktiebolag,49410,,49410,KUNGENS KURVA,14106,Box 6064,Bolaget skall bedriva åkeriverksamhet och därmed förenlig verksamhet.,1983-09-01,active,,,,
556245-4875,4R Ekonomi AB,4R Ekonomi AB,69201,,69201; 69202,UDDEVALLA,45152,BANGATAN 11,Bolaget ska bedriva uppdragsverksamhet inom revision och redovisning och därmed förenlig verksamhet.,1984-07-26,active,,,,
556257-6446,Lars Svenssons Gräv och Marktjänst AB,Lars Svenssons Gräv och Marktjänst AB,43120,,43120,VARBERG,43295,ATTORPSVÄGEN 15 B,"Bolaget skall bedriva grävmaskinsentreprenader, mark- och anläggningsarbeten samt därmed förenlig verksamhet.",1985-03-12,active,,,,
556238-1888,City Transporter Aktiebolag,City Transporter Aktiebolag,49410,,49410,HUDDINGE,14149,ELEKTRONVÄGEN 1  ENTRE 2,"Bolaget skall utföra transporter, bedriva transitlager och tull- upplag, samt handel med kolonialvaror och kontorsutrustningar ävensom idka därmed förenlig verksamhet.",1984-01-02,active,,,,
556249-1323,Markförädlingar i Norrland Aktiebolag,Markförädlingar i Norrland Aktiebolag,43120,,43120; 20150,TIMRÅ,86136,PLÅTSLAGARVÄGEN 7,"Bolagets verksamhet ska vara trädgårdsentreprenad, tillverkning och försäljning av matjord, uthyrning av personal, uthyrning av arbetsmaskiner, maskinarbete och maskinentreprenad inom anläggningsarbeten, transporter, hästhållning, uppfödning och tävling med travhästar, handel med aktier och värdepapper, förvaltning av fast och lös egendom samt därmed förenlig verksamhet.",1985-01-14,active,,,,
