orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url
556490-5627,Abema Group AB,Abema Group AB,47551,,47551,SUNDSVALL,85231,KÖPMANGATAN 7,"Bolaget skall bedriva detaljhandel inom järn, möbler, interiör- artiklar, hushållsmaskiner, köksredskap och VVS, teknisk konsultation inom data, äga och förvalta fastigheter, café med catering och därmed förenlig verksamhet.",1994-07-07,active,,,,
556474-4497,Bjurkell Bilaktiebolag,Bjurkell Bilaktiebolag,47811,,"47811; 47813; 95311; 77390",BROMMA,16867,GÅRDSFOGDEVÄGEN 12,"Bolaget skall bedriva köp och försäljning av bilar, båtar, konst samt handel med värdepapper samt därmed förenlig verksamhet.",1993-11-03,active,,,,
556480-6692,EFtech AB,EFtech AB,46502,,46502,MJÖLBY,59550,LINKÖPINGSVÄGEN 3,"Bolaget skall bedriva handel, import och försäljning med maskiner, industriell utrustning, främst mekaniska, elektroniska och elektriska komponenter inom flödesteknik, geoteknik, mätteknik, fordon och redskap samt handel med fast egendom och därmed förenlig verksamhet och därmed förenlig verksamhet.",1994-01-20,active,,,,
556501-4163,Profilic Aktiebolag,Profilic Aktiebolag,46380,,46380,GÄVLE,80325,NORRTULLSGATAN 14,"Bolaget skall bedriva utbildningsverksamhet inom försäljning, sälja produkter och boka besök inom svensk dagligvaruhandel, restaurang-storhushåll via telefon samt därmed förenlig verksamhet.",1995-01-10,active,,,,
556496-2412,A-C Johansson i Umeå AB,A-C Johansson i Umeå AB,47641,,47641,UMEÅ,90344,SOLVÄNDAN 11 B,"Bolaget skall bedriva konsultverksamhet avseende barninredningar, möbler, leksaker och barnkläder samt därmed förenlig verksamhet.",1994-10-07,active,,,,
556505-4003,EGE - Specialsensorer AB,EGE - Specialsensorer AB,46503,,46503,BORÅS,50330,HALLBERGSPLATSEN 5,Bolaget skall bedriva tillverkning och försäljning av elektroniksensorer samt därmed förenlig verksamhet.,1995-02-01,active,,,,
556508-1220,Smink och Perukmakaren Söder AB,Smink och Perukmakaren Söder AB,47751,,"47751; 32990",STOCKHOLM,11131,KÖPMANTORGET 1,"Bolaget skall bedriva tillverkning och försäljning av peruker, försäljning av teatersmink och därmed förenlig verksamhet.",1995-01-24,active,,,,
556243-9512,Carrier Aktiebolag,Carrier Aktiebolag,46842,,46842,ASKIM,43634,ASKIMS VERKSTADSVÄG 4,"Bolaget skall tillverka, försälja och installera luftkonditionerings- och liknande utrustning, lämna service å sådan utrustning samt bedriva därmed förenlig verksamhet.",1984-05-03,active,,,,
556504-4947,XTZ Group Aktiebolag,XTZ Group Aktiebolag,47403,,"47403; 47404; 68203",TORUP,31441,GAMLA NISSASTIGEN 17,"Bolaget skall bedriva försäljning av hemelektronik, vitvaror, elartiklar och datorer samt tillbehör via internet och butik, service av ovan nämnda varor, datakonsultverksamhet och därmed förenlig verksamhet.",1995-01-16,active,,,,
556502-2042,Bröderna Thörnbergs Livs AB,Bröderna Thörnbergs Livs AB,47112,,47112,RIMFORSA,59043,Kalmarvägen 24,"Bolaget skall driva detaljhandel med dagligvaror, förvaltning av värdepapper samt idka därmed förenlig verksamhet.",1994-12-19,active,,,,
