orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url
556657-7234,Butik 4108106 Sthlm Cstn/Vasagatan AB,Butik 4108106 Sthlm Cstn/Vasagatan AB,47260,,47260; 47621; 47242,UPPSALA,75452,STÅLGATAN 40  LGH 1003,Bolaget skall bedriva detaljhandel främst i form av kiosk och servicebutik ävensom idka därmed förenlig verksamhet.,2004-03-12,active,,,,
556659-4874,AB UBL Skog o Trädgård,AB UBL Skog o Trädgård,47522,,47522; 33120,TOLLARP,29832,ÖSTRA VRAMSVÄGEN 7,Bolaget ska bedriva försäljning och service av motorsågar och trädgårdsmaskiner samt idka därmed förenlig verksamhet.,2004-04-07,active,,,,
556392-8182,Arboga Truck och Maskin Ulv Alvinzi Aktiebolag,Arboga Truck och Maskin Ulv Alvinzi Aktiebolag,46630,,46630,FALUN,79127,BOX 292,Bolaget skall bedriva handel med truckar och entreprenadmaskiner samt utföra service och reparation i anslutning härtill ävensom idka därmed förenlig verksamhet.,1990-04-25,active,,,,
556629-0234,Hund och Jakt Grossist i Haparanda AB,Hund och Jakt Grossist i Haparanda AB,47631,,47631,HAPARANDA,95333,KRANVÄGEN 1,"Bolaget skall bedriva import, export och grossist- och butiksförsäljning av hund-, jakt- och fritidsartiklar samt därmed förenlig verksamhet.",2002-06-27,active,,,,
556446-6265,Kinnekullegården AB,Kinnekullegården AB,47123,,47123,GÖTENE,53333,SKIBERGSVÄGEN 8,"Bolaget skall bedriva Hotell- och restaurangverksamhet, kiosk och tobaksförsäljning samt därmed förenlig verksamhet.",1992-05-05,active,,,,
556643-2653,Houdini AB,Houdini AB,47711,,47711,NACKA,13172,FINNBODA VARVSVÄG 16,Bolaget skall äga och förvalta aktier i ett rörelsedrivande bolag och därmed förenlig verksamhet.,2003-04-30,active,,,,
556372-2163,Thomas Paulsson Livsmedel Aktiebolag,Thomas Paulsson Livsmedel Aktiebolag,47112,,47112,HÖRBY,24231,RINGSJÖVÄGEN 7,"Bolaget skall bedriva detaljhandelsrörelse med dagligvaror inom ICA-verksamheten i Sverige, handel med värdepapper samt därmed förenlig verksamhet.",1989-10-06,active,,,,
556646-3286,Brinkhammar Fordon & Fastighet Invest AB,Brinkhammar Fordon & Fastighet Invest AB,47820,,47820; 68201; 95311,EKSJÖ,57536,LUPINGATAN 23,"Bolaget skall bedriva förvaltning av fastigheter och värde- papper, handel med radio, TV, datorer och fotoartiklar, samt eventverksamhet. Även handel med fordon och därmed förenlig verksamhet.",2003-07-09,active,,,,
556647-4887,Grönsaksboa Viskadalen AB,Grönsaksboa Viskadalen AB,46499,,46499; 62201; 73119,ÖXABÄCK,51195,GUNNAREBO,"Föremålet för bolagets verksamhet är att bedriva import och handel med hushållsartiklar, presentartiklar, datorer, datortillbehör, frukt, grönsaker, konfektyr, blommor samt service av datorer.",2003-08-18,active,,,,
556648-9851,AVA livs Aktiebolag,AVA livs Aktiebolag,47112,,47112,LÄNGHEM,51444,BORÅSVÄGEN 26,Bolaget har till föremål för sin verksamhet att bedriva detaljhandelsrörelse med dagligvaror inom ICA-verksamheten i Sverige och annan därmed förenlig verksamhet.,2003-09-22,active,,,,
556649-8977,CASTOR Invest AB,CASTOR Invest AB,46860,,46860,MALMÖ,21774,NORDMANNAGATAN 3,"Bolaget ska bedriva konsultverksamhet avseende företags- organisation, partihandel med emballage samt därmed förenlig verksamhet.",2003-10-10,active,,,,
556651-3908,Vidderna Jakt & Fiske AB,Vidderna Jakt & Fiske AB,47631,,47631; 93199,ÖREBRO,70142,BOX 143,"Föremålet för bolagets verksamhet är att bedriva entreprenad inom sötvattenfiske, jakt samt bygg och anläggning, försäljning och service därintill.",2003-12-03,active,,,,
556393-3778,Gourmet Teas Aktiebolag,Gourmet Teas Aktiebolag,46370,,46370,LIDINGÖ,18161,TYKÖVÄGEN 28,"Bolaget skall bedriva publisistisk verksamhet, import och handel med te, presentartiklar och hantverksprodukter, äga och förvalta värdepapper och fastigheter, samt därmed förenlig verksamhet.",1990-04-06,active,,,,
