name, orgnr
Byggnadsaktiebolaget N.J. Andersson & Son,556079-8299
VIKAB Aktiebolag,556080-1978
BIAB Entreprenad AB,556080-7439
Mårdhs Plåtslageri Aktiebolag,556080-8429
Rörbolaget i Smålandsstenar Aktiebolag,556080-8585
Norrköpings Stenindustri Aktiebolag,556080-9955
Carlssons Glasmästeri i Sala Aktiebolag,556081-5077
Barkarby Elinstallationer Aktiebolag,556081-8592
J.H.S. Byggnadsaktiebolag,556082-0382
Måleriaktiebolaget Gösta Andersson & Söner,556082-3782
Fjärås Bygg AB,556082-7650
S.A Gruppen i Alingsås AB,556082-8203
Strömslunds Elektriska Aktiebolag,556082-8641
Aktiebolaget C.R. Malms Trädgårdsanläggningar,556083-0381
Sjölanders Kranlyft Aktiebolag,556083-2650
Aktiebolaget Årsta Plåtslageri,556083-2932
Andreas Henrikson Äventyr AB,556083-4334
Aktiebolaget Mellanströms Schakt & Planering,556083-4367
VVS-Huset Malmö Aktiebolag,556083-8236
Traktorfirma Anders Segerlund Aktiebolag,556084-1446
Loevaas Industriservice AB,556084-3434
Folke Svensson Byggnads Aktiebolag,556084-4630
Matfors Installationsbyrå Aktiebolag,556084-4861
Mariapark SOL AB,556084-7112
Gustafssons Glasmästeri i Oskarshamn Aktiebolag,556085-1783
Bror Olsson & Söner i Kungsör Aktiebolag,556085-2831
HML Haga Mölndal Gräv & Transport Aktiebolag,556085-3029
AB Berggrens Grävmaskiner,556085-4605
E. Wennersten Målerifirma Aktiebolag,556086-7797
Aktiebolaget Sjögareds Såg,556086-8894
Byggnadsaktiebolaget Apelman & Son,556087-1401
"Central-Glasmästeriet, Holmberg & Johansson Aktiebolag",556087-2722
J F Johanssons Golv Aktiebolag,556087-6368
Glimåkra Värme- & Sanitetstjänst Aktiebolag,556087-6418
SD-Hus Entreprenad Aktiebolag,556087-7382
HKM Bygg & Inredning AB,556087-8976
Olofssons Plåtslageri Aktiebolag,556088-0881
Näslunds Väg Aktiebolag,556088-3604
Björkarp Fastigheter AB,556088-5237
Molkoms Elektriska Aktiebolag,556088-6896
Källsjö Elteknik AB,556088-7555
Fastighets Aktiebolaget Långenäs,556088-9361
Solid-Elektro Aktiebolag,556089-3454
Värme & Sanitet Agne Palmér Aktiebolag,556089-4627
Vikens Elektriska Aktiebolag,556089-5517
Aktiebolaget Traktortjänst Tomas Kjellström,556089-6101
Kalix Glasmästeri Aktiebolag,556089-6143
Rune Martinius Byggnadsaktiebolag,556090-0804
Bergs Golv i Långsele Aktiebolag,556090-2735
Aktiebolaget Göteborgs Golvläggarecentral,556090-2784
